Time,Active_Zone,Car_Count
07:37:15,Zone 1,4
07:37:21,Zone 2,6
07:37:24,Zone 2,5
07:37:27,Zone 3,5
07:37:30,Zone 3,6
07:37:39,Zone 4,8
07:37:42,Zone 1,8
07:37:45,Zone 1,10
07:37:48,Zone 1,8
07:37:51,Zone 1,6
07:37:54,Zone 2,8
07:37:57,Zone 2,7
07:38:00,Zone 2,5
07:38:09,Zone 4,4
07:38:12,Zone 4,7
07:38:15,Zone 4,7
07:38:21,Zone 1,6
07:38:24,Zone 1,6
07:38:27,Zone 2,5
07:38:33,Zone 2,7
07:38:36,Zone 3,10
07:38:51,Zone 4,6
07:38:54,Zone 1,8
07:39:03,Zone 2,5
07:39:06,Zone 2,10
07:39:09,Zone 2,7
07:39:18,Zone 4,8
07:39:21,Zone 4,8
07:39:24,Zone 4,8
07:39:33,Zone 1,9
07:39:36,Zone 1,6
07:39:42,Zone 2,5
07:39:45,Zone 3,7
07:39:54,Zone 4,5
07:40:00,Zone 4,4
07:40:03,Zone 1,5
07:40:06,Zone 1,8
07:40:09,Zone 1,8
07:40:12,Zone 2,7
07:40:15,Zone 2,5
07:40:24,Zone 3,5
07:40:30,Zone 4,8
07:40:33,Zone 4,10
07:40:48,Zone 2,8
07:40:51,Zone 2,8
07:41:00,Zone 3,6
07:41:03,Zone 4,8
07:41:06,Zone 4,6
07:41:09,Zone 1,8
07:41:12,Zone 1,7
07:41:27,Zone 2,7
07:41:30,Zone 3,8
07:41:36,Zone 3,7
07:41:39,Zone 4,6
07:41:48,Zone 1,6
07:41:51,Zone 1,5
07:41:54,Zone 1,5
07:41:57,Zone 2,4
07:42:00,Zone 2,5
07:42:03,Zone 3,8
07:42:06,Zone 3,8
07:42:18,Zone 4,6
07:42:24,Zone 1,7
07:42:30,Zone 2,7
07:42:33,Zone 2,10
07:42:36,Zone 2,7
07:42:39,Zone 3,4
07:42:54,Zone 4,4
07:42:57,Zone 1,5
07:43:00,Zone 1,6
07:43:03,Zone 1,10
07:43:06,Zone 2,7
07:43:12,Zone 2,8
07:43:21,Zone 3,8
07:43:27,Zone 4,7
07:43:30,Zone 4,9
07:43:33,Zone 1,6
07:43:36,Zone 1,7
07:43:42,Zone 2,7
07:43:57,Zone 3,4
07:44:03,Zone 4,7
07:44:06,Zone 1,6
07:44:12,Zone 1,8
07:44:21,Zone 2,6
07:44:27,Zone 3,6
07:44:30,Zone 3,8
07:44:36,Zone 4,8
07:44:39,Zone 4,7
07:44:54,Zone 2,7
07:44:57,Zone 2,4
07:45:03,Zone 3,5
07:45:06,Zone 4,8
07:45:18,Zone 1,7
07:45:21,Zone 1,9
07:45:36,Zone 3,6
07:45:39,Zone 3,9
07:45:45,Zone 4,7
07:46:00,Zone 2,5
07:46:12,Zone 3,8
07:46:18,Zone 4,5
07:46:21,Zone 4,6
07:46:27,Zone 1,5
07:46:30,Zone 1,7
07:46:33,Zone 2,7
07:46:36,Zone 2,7
07:47:00,Zone 1,4
07:47:21,Zone 3,8
07:47:36,Zone 1,7
07:47:39,Zone 1,9
07:47:42,Zone 1,6
07:47:48,Zone 2,5
07:47:54,Zone 3,6
07:47:57,Zone 3,7
07:48:00,Zone 4,5
07:48:03,Zone 4,4
07:48:06,Zone 4,5
07:48:09,Zone 1,4
07:48:12,Zone 1,5
07:48:15,Zone 1,6
07:48:18,Zone 2,7
07:48:24,Zone 2,5
07:48:27,Zone 3,6
07:48:30,Zone 3,6
07:48:33,Zone 3,5
07:48:45,Zone 1,8
07:48:48,Zone 1,7
07:48:51,Zone 1,4
07:48:54,Zone 2,4
07:48:57,Zone 2,4
07:49:03,Zone 3,8
07:49:06,Zone 3,5
07:49:12,Zone 4,6
07:49:15,Zone 4,9
07:49:24,Zone 1,10
07:49:27,Zone 1,9
07:49:36,Zone 2,9
07:49:42,Zone 3,7
07:49:45,Zone 3,6
07:49:48,Zone 4,5
07:49:54,Zone 1,6
07:49:57,Zone 1,6
07:50:03,Zone 1,6
07:50:09,Zone 2,5
07:50:15,Zone 2,5
07:50:24,Zone 4,7
07:50:27,Zone 4,7
07:50:30,Zone 4,5
07:50:48,Zone 2,8
07:50:51,Zone 2,8
07:51:00,Zone 4,4
07:51:03,Zone 4,4
07:51:09,Zone 1,8
07:51:27,Zone 3,7
07:51:36,Zone 4,8
07:51:42,Zone 4,9
07:51:54,Zone 1,5
07:52:03,Zone 3,7
07:52:06,Zone 3,6
07:52:18,Zone 4,5
07:52:27,Zone 1,6
07:52:30,Zone 2,7
07:52:36,Zone 2,5
07:52:39,Zone 3,6
07:52:42,Zone 3,6
07:52:45,Zone 3,5
07:52:51,Zone 4,7
07:52:54,Zone 4,7
07:53:06,Zone 2,4
07:53:18,Zone 3,4
07:53:21,Zone 3,6
07:53:24,Zone 4,6
07:53:30,Zone 1,6
07:53:33,Zone 1,8
07:53:36,Zone 1,10
07:53:39,Zone 2,8
07:53:42,Zone 2,7
07:53:48,Zone 2,8
07:53:51,Zone 3,11
07:53:57,Zone 4,9
07:54:03,Zone 4,7
07:54:09,Zone 1,6
07:54:21,Zone 2,5
07:54:24,Zone 2,5
07:54:27,Zone 3,4
07:54:33,Zone 3,8
07:54:36,Zone 4,8
07:54:39,Zone 4,7
07:54:45,Zone 1,6
07:54:51,Zone 2,6
07:54:54,Zone 2,7
07:54:57,Zone 2,7
07:55:06,Zone 3,7
07:55:09,Zone 3,6
07:55:21,Zone 1,8
07:55:27,Zone 1,6
07:55:45,Zone 4,7
07:55:48,Zone 4,7
07:55:51,Zone 4,9
07:55:54,Zone 1,8
07:55:57,Zone 1,9
07:56:06,Zone 1,9
07:56:09,Zone 2,9
07:56:12,Zone 2,5
07:56:15,Zone 2,6
07:56:18,Zone 3,5
07:56:27,Zone 4,5
07:56:33,Zone 1,4
07:56:36,Zone 1,5
07:56:45,Zone 2,7
07:56:51,Zone 2,6
07:56:57,Zone 3,6
07:57:00,Zone 4,5
07:57:06,Zone 4,7
07:57:09,Zone 1,10
07:57:15,Zone 1,6
07:57:21,Zone 2,4
07:57:24,Zone 2,4
07:57:27,Zone 3,8
07:57:39,Zone 4,6
07:57:45,Zone 1,6
07:57:48,Zone 1,6
07:57:54,Zone 2,8
07:58:06,Zone 3,9
07:58:09,Zone 3,7
07:58:12,Zone 4,6
07:58:15,Zone 4,6
07:58:18,Zone 4,7
07:58:21,Zone 1,6
07:58:24,Zone 1,7
07:58:27,Zone 1,6
07:58:30,Zone 2,5
07:58:39,Zone 3,5
07:58:45,Zone 3,7
07:58:48,Zone 4,7
07:58:51,Zone 4,7
07:58:54,Zone 1,7
07:58:57,Zone 1,5
07:59:03,Zone 2,6
07:59:06,Zone 2,5
07:59:09,Zone 2,7
07:59:18,Zone 3,9
07:59:21,Zone 4,7
07:59:24,Zone 4,5
07:59:33,Zone 1,4
07:59:36,Zone 2,8
07:59:42,Zone 2,6
07:59:45,Zone 3,5
07:59:51,Zone 3,10
